"authorName","paperTitle","assignedDept","teacherDept","teacherId"
"Abhay Tiwari","From translational medicine to functional foods: Mechanistic insights and therapeutic applications of hormetic phytochemicals","Department of Biotechnology","Humanities & Social Sciences","8900"
"Manish Kumar","Octagonal-Shaped Super Wideband CPW-Fed Patch MIMO Antenna for Multiband Wireless Applications","Department of Humanities & Social Sciences","Medical Sciences","131"
"Swati Sharma","Functional and Nutraceutical Properties of Protein and Polyphenols Extracted From Agro-Industrial Waste: A Comprehensive Review","Department of Medical Sciences","Dental Science","297"
"Ankur Sharma","Methodological considerations for nonconcurrent comparisons of pulsed field ablation catheter platforms","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Comments on “Dexmedetomidine administration is associated with small haemodynamic changes in children undergoing cardiac procedures: a systematic review and meta-analysis”","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Comments on “Sex differences late after tetralogy of Fallot repair: a systematic review and meta-analysis”","Department of Medical Sciences","Life Sciences","5123"
"Abhay Tiwari","Plant halides as potential norovirus 3CLpro inhibitors: An in silico approach","Department of Biotechnology","Humanities & Social Sciences","8900"
"Ankur Sharma","Methodological Considerations on “McKeown Versus Ivor Lewis Esophagectomy for Lower Esophageal Squamous Cell Carcinoma: a Prospective Comparison of Surgical and Survival Outcomes”","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Methodological considerations in evaluating intrapartum hyoscine butyl bromide for delayed labor progress","Department of Medical Sciences","Life Sciences","5123"
"Ashok Kumar","AI-Based Automated Detection and Classification of Osteoporosis in Females from Dental Panoramic Radiographs","Department of Law","Physics","4961"
"Ankur Sharma","Comments on ""Phylodynamic analysis of recent bovine viral diarrhea viruses in the Republic of Korea""","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Comment on “Lung Volume Reduction Therapies in Patients with Emphysema: A Systematic Review and Network Meta-Analysis”","Department of Medical Sciences","Life Sciences","5123"
"Manish Kumar","A Compact CPW-Fed Super-Wideband Antenna on FR4 for 5G, 6G, and Wireless Applications","Department of Humanities & Social Sciences","Medical Sciences","131"
"Ankur Sharma","Comments on “Dialysis modality and cognitive outcomes in chronic kidney disease: a systematic review and meta-analysis”","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Comments on “Multiobjective Comprehensive Evaluation and Optimization of Interventional Blood Pump Impeller”","Department of Medical Sciences","Life Sciences","5123"
"Mohit Kumar","Spotlight on pectinase: a comprehensive review of large-scale production strategies","Department of Life Sciences","Computer Science & Engineering","10953"
"Ankur Sharma","Comments on ""A comparative study between milk- and serum-based antibody detection assays for Johne's disease in New Zealand dairy cattle""","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Comments on “Role SGLT2 inhibitor therapy in patients with transthyretin cardiac amyloidosis: a GRADE assessed systematic review and meta-analysis”","Department of Medical Sciences","Life Sciences","5123"
"Ashok Kumar Gupta","Bioinspired polymeric constructs in management of burn wounds: current trends and future","Department of Pharmacy","Medical Sciences","6766"
"Ankur Sharma","Comment on “Performance of magnetic resonance imaging in discriminating between intra- and extradural versus extradural-only nerve sheath tumor”","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Comments on “Physical activity and risk of thyroid cancer: a systematic review and meta-analysis of prospective cohort studies”","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Commentary on methodological rigor in “Predictors of exclusive breastfeeding: a systematic review and meta-analysis”","Department of Medical Sciences","Life Sciences","5123"
"Shalini Srivastava","Click, eat, repeat: Online food ordering and dietary behaviors among medical students in a private university in greater Noida, Uttar Pradesh, India","Department of Environmental Science","Medical Sciences","250"
"Krishan Kumar","Improving Medical Image Classification with Segmentation-Driven Ensemble Machine Learning","Department of Computer Science & Engineering","Architecture","3240"
"Ashok Kumar Gupta","Assessment of periostin in postmenopausal thyroid patients: A prospective case-control study","Department of Pharmacy","Medical Sciences","6766"
"Amit Kumar","Unleashing the potential of white-rot fungi mycelium for functional biomaterials development","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ashok Kumar Gupta","Assessment of Quality of Life in Acne Vulgaris Patients in Terms of Clinical Severity and Psychological Burden: A Multi Centre Study in Anand District","Department of Pharmacy","Medical Sciences","6766"
"Ashok Kumar","Estimation of the Coronal Differential Rotation Using SDO/AIA 21.1 nm Observations","Department of Law","Physics","4961"
"Abhay Tiwari","Potential of edible flowers of the Asian region as functional ingredients: a review","Department of Biotechnology","Humanities & Social Sciences","8900"
"Ashok Kumar Gupta","Synergistic neurotoxicity of ciprofloxacin and nimesulide in unmasking a hidden catalyst for seizures: A case report","Department of Pharmacy","Medical Sciences","6766"
"Ashok Kumar Gupta","TRPV receptors in pain research: Bridging molecular mechanisms to clinical treatments","Department of Pharmacy","Medical Sciences","6766"
"Abhay Tiwari","Emerging trends and Innovative strategies for the diagnosis of Leishmaniasis: A quantum leap from classical to modern era","Department of Biotechnology","Humanities & Social Sciences","8900"
"Ajit Kumar","Dynamics of spheroidal droplets impacting on hydrophobic surfaces","Department of Humanities & Social Sciences","Mechanical Engineering","10948"
"Ashok Kumar","Advancing sustainable food Packaging: Integrating machine learning, deep learning, and artificial intelligence","Department of Law","Physics","4961"
"Ashok Kumar Gupta","Redefining Risk, Biomarkers, and Precision Therapy for Hereditary Ovarian Cancer: A Review","Department of Pharmacy","Medical Sciences","6766"
"Ashok Kumar Gupta","Pediatric fixed drug eruption: A case report of ofloxacin as the culprit","Department of Pharmacy","Medical Sciences","6766"
"Ajay Kumar","Proniosome-based smart delivery systems for Psoriasis-targeted bioactive therapy","Department of Management","Chemistry and Biochemistry","6354"
"Prashant Sharma","Effect of Varying Concentration of Kefir Grains on the Microbial, Physiochemical, Antioxidant and Sensory Properties of Water Kefir Fermented Drink","Department of Humanities & Social Sciences","Medical Sciences","230"
"Anita Singh","Scaling green hydrogen production through AI innovations: Review of production technologies and global policies impact","Department of Medical Sciences","Law","7491"
"Avinash Kumar","Commercialisation of Innovations: A Case Study of Liposomal Formulations","Department of Computer Science & Engineering","Physics","7468"
"Mohit Kumar","Bioprocess optimization and scale-up to enhance the production of secondary metabolites from Streptomyces","Department of Life Sciences","Computer Science & Engineering","10953"
"Mohit Kumar","Application of streptomycetes in medicine","Department of Life Sciences","Computer Science & Engineering","10953"
"Mohit Kumar","Streptomyces as a novel source of enzymes and approaches to enhance the production of enzymes","Department of Life Sciences","Computer Science & Engineering","10953"
"Amit Kumar","Xylanase-assisted TCF bleaching of Eulaliopsis binata pulp","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ashok Kumar Gupta","Comparison of efficacy and toxicity of chemotherapeutic regimens used as adjuvant and/or neoadjuvant chemotherapy in penile cancer patients","Department of Pharmacy","Medical Sciences","6766"
"Amit Kumar","Oil palm biomass: a potential feedstock for lignocellulolytic enzymes and biofuels production","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ajay Kumar","Leveraging Artificial Intelligent (AI) for human-mimic tech in marketing 5.0","Department of Management","Chemistry and Biochemistry","6354"
"Ajay Kumar","Marketing 5.0: The role of human-mimicking technology","Department of Management","Chemistry and Biochemistry","6354"
"Amit Kumar","Xylanase-assisted bioconversion and bioelectricity production in microbial fuel cells: A novel strategy for renewable energy generation","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Manish Kumar","A compact triple-band CPW-fed antenna laminated on FR-4 dielectric substrate material for diverse wireless applications","Department of Humanities & Social Sciences","Medical Sciences","131"
"Pooja Singh","Two-way detection of tuberculosis bacilli using fano resonance sensor and machine learning algorithms","Department of Management","Humanities & Social Sciences","12783"
"Amit Kumar","Biochemical and Molecular Characterization of Soil-Isolated Exoelectrogens and Evaluation of Their Electrochemical Properties via Single-Chambered Mediator-Free Microbial Fuel Cell","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Manish Kumar","Investigation of Flame-Retarded Epoxy Resin Fiberglass Composite Material-Based Coplanar Waveguide Patch Antennas","Department of Humanities & Social Sciences","Medical Sciences","131"
"Sandeep Kumar","Ionic Liquid Mixed Polymer Electrolyte for Supercapacitor","Department of Management","Computer Science & Engineering","8567"
"Pooja Singh","Ionic Liquid 1-Ethyl-3-Methylimidazolium Tricyanomethanide-Doped Polymer Electrolyte for Device Application","Department of Management","Humanities & Social Sciences","12783"
"Amit Kumar","Utilization of refuse-derived fuel in industrial applications: Insights from Uttar Pradesh, India","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Sandeep Kumar","Influencing hair regrowth with EGCG by targeting glycogen synthase kinase-3β activity: a molecular dynamics study","Department of Management","Computer Science & Engineering","8567"
"Ajay Kumar","Exploring the Impact of AI on Management and Healthcare for Streamlining Operations and Decision-Making","Department of Management","Chemistry and Biochemistry","6354"
"Ashok Kumar Gupta","Case Studies on Network Pharmacology in Predicting the Mechanism of Herbal Drugs","Department of Pharmacy","Medical Sciences","6766"
