"authorId","fullName","surname","givenName","documentCount","university","city","country","topSubjectArea","orcid"
"58806881100","Bhupinder Singh","Singh","Bhupinder",405,"Sharda University","Greater Noida","India","Computer Science (all)","0009-0006-4779-2553"
"57205917596","Bharat Bhushan","Bhushan","Bharat",376,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-9345-4786"
"57219301154","Kumar Vijay Sandeep","Sandeep","Kumar Vijay",354,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-5570-8968"
"58645554800","Sanjay Suresh Kumar","Kumar","Sanjay Suresh",324,"Sharda University","Greater Noida","India","Medicine (all)",""
"57210232856","Seyed Ehtesham Hasnain","Hasnain","Seyed Ehtesham",303,"Indian Institute of Technology Delhi","New Delhi","India","Medicine (all)",""
"58842930700","Sandeep Kumar","Kumar","Sandeep",278,"Sharda University","Greater Noida","India","Physics and Astronomy (all)",""
"15060348700","Soumya Pandit","Pandit","Soumya",273,"Sharda University","Greater Noida","India","Medicine (all)","0000-0001-8045-4675"
"25945869500","Nakshatra Bahadur Singh","Singh","Nakshatra Bahadur",270,"Sharda University","Greater Noida","India","Materials Science (all)","0000-0003-1984-7896"
"6506991350","Parma Nand","Nand","Parma",252,"Sharda University","Greater Noida","India","Computer Science (all)",""
"7201817042","Anoop Kumar Mukhopadhyay","Mukhopadhyay","Anoop Kumar",246,"Sharda University","Greater Noida","India","Materials Science (all)",""
"14422688200","Ajay Singh Verma","Verma","Ajay Singh",232,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0001-8223-7658"
"7201915474","R. M. Mehra","Mehra","R. M.",226,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0002-6218-4373"
"57672913100","Arpita Roy","Roy","Arpita",199,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-1928-3093"
"57189443247","Keshav Kaushik","Kaushik","Keshav",195,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0003-3777-765X"
"57220905930","Piyush Kumar Gupta","Gupta","Piyush Kumar",181,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-3346-910X"
"57195480641","Subhav Singh","Singh","Subhav",172,"Lovely Professional University","Phagwara","India","Medicine (all)",""
"57189048540","Ambuj Kumar Agarwal","Agarwal","Ambuj Kumar",155,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-5181-5750"
"6701422131","Nasreen Z. Ehtesham","Ehtesham","Nasreen Z.",143,"Sharda University","Greater Noida","India","Medicine (all)",""
"57208815846","Rajesh Yadav","Yadav","Rajesh",135,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-1645-9997"
"57214417135","Amit Kumar Gupta","Gupta","Amit Kumar",122,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-4847-4120"
"56599597000","Sanju M. Tiwari","Tiwari","Sanju M.",121,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-7197-0766"
"59475148100","Inderpreet Kaur","Kaur","Inderpreet",112,"Sharda University","Greater Noida","India","Physics and Astronomy (all)",""
"7401973402","Bhuvnesh Kumar","Kumar","Bhuvnesh",111,"Sharda University","Greater Noida","India","Medicine (all)",""
"58518549300","Gaurav Raj","Raj","Gaurav",110,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-9806-5923"
"56350222300","Tanmoy Chakraborty","Chakraborty","Tanmoy",108,"Sharda University","Greater Noida","India","Chemistry (all)","0000-0002-3374-8125"
"35071743100","Jayaraman Muthukumaran","Muthukumaran","Jayaraman",104,"Sharda University","Greater Noida","India","Medicine (all)","0000-0002-0953-1196"
"7407268050","Ram Chandra Singh","Singh","Ram Chandra",101,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0002-1514-5697"
"57208691509","Pankaj Kumar Tripathi","Tripathi","Pankaj Kumar",92,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0002-1433-6088"
"7404178224","Satyawada Rama Rao","Rao","Satyawada Rama",92,"Sharda University","Greater Noida","India","Biochemistry, Genetics and Molecular Biology (all)",""
"59424064700","Kavita Goyal","Goyal","Kavita",86,"Sharda University","Greater Noida","India","Medicine (all)",""
"23006199000","Jayanthi Ranjan","Ranjan","Jayanthi",84,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-3128-7505"
"7404545624","Sushmita Banerjee","Banerjee","Sushmita",83,"Sharda University","Greater Noida","India","Environmental Science (all)","0000-0001-9471-2604"
"57226509287","Anil Kumar Sagar","Sagar","Anil Kumar",81,"Sharda University","Greater Noida","India","Computer Science (all)",""
"7006741315","Dolly Wattal Dhar","Dhar","Dolly Wattal",79,"Sharda University","Greater Noida","India","Agricultural and Biological Sciences (all)",""
"57043972400","Surya K. Pal","Pal","Surya K.",77,"Sharda University","Greater Noida","India","Mathematics (all)","0000-0001-8701-2095"
"57225853677","Rajendra Kumar","Kumar","Rajendra",77,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0002-8427-5428"
"8572393700","Thangavelu Krithiga","Krithiga","Thangavelu",76,"Sharda University","Greater Noida","India","Medicine (all)",""
"59636207000","Amit Kumar Singh","Singh","Amit Kumar",75,"Sharda University","Greater Noida","India","Medicine (all)",""
"57218328316","Sufyan Ghani","Ghani","Sufyan",74,"Sharda University","Greater Noida","India","Engineering (all)","0000-0003-1361-0126"
"57200732318","Amrish Chandra","Chandra","Amrish",72,"Sharda University","Greater Noida","India","Pharmacology, Toxicology and Pharmaceutics (all)","0000-0001-6797-4561"
"37021165700","Sunil Chauhan","Chauhan","Sunil",72,"Sharda University","Greater Noida","India","Physics and Astronomy (all)","0000-0002-6416-9732"
"59459196900","Avinash Kumar Sharma","Sharma","Avinash Kumar",66,"Sharda University","Greater Noida","India","Computer Science (all)","0000-0001-6762-6778"
