"fullName","authorId","university","department","city","country"
"Akanksha Mishra","57218166042","Sharda University","Department of Mechanical Engineering","Greater Noida","India"
"Thangavelu Krithiga","8572393700","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Manoj Kumar-Mishra","60227633300","Sharda University","Sharda University","Greater Noida","India"
"Shaily Chauhan","57275441600","Sharda University","Department of Life Science","Greater Noida","India"
"Piyush Kumar Gupta","57220905930","Sharda University","Sharda University","Greater Noida","India"
"Vatsal Jain","59927224200","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Sakshi Chauhan","59055472500","Sharda University","Department of Biotechnology","Greater Noida","India"
"Keshav Kaushik","57189443247","Sharda University","Sharda University","Greater Noida","India"
"V. Naga Bhushana Rao","60364722200","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Aditya Dayal Tyagi","59385101300","Sharda University","Department of Computer Science and Applications","Greater Noida","India"
"Yogesh Sharma","57197298248","Sharda University","Sharda University","Greater Noida","India"
"S. Lakshmi Sankar","60232008100","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Tarun Varshney","24780065700","Sharda University","Sharda University","Greater Noida","India"
"Kuldeep Chouhan","56118654900","Sharda University","Sharda University","Greater Noida","India"
"Paru Gautam","60348726600","Sharda University","School of Medical Sciences and Research","Greater Noida","India"
"Rohit Kumar Sachan","57170217300","Sharda University","Sharda University","Greater Noida","India"
"Ambika Nand Jha","58290962400","Sharda University","Sharda University","Greater Noida","India"
"Piyush Mittal","57195551893","Sharda University","Sharda University","Greater Noida","India"
"Soumya Pandit","15060348700","Sharda University","Department of Life Science","Greater Noida","India"
"Gunjan Garg","59301960300","Sharda University","Sharda University","Greater Noida","India"
"Manidipa Roy","60372014700","Sharda University","Department of Life Science","Greater Noida","India"
"Soumyajit Chandra","57553136900","Sharda University","Department of Life Science","Greater Noida","India"
"Naresh Kumar","58549159500","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"S. Suman","60352716000","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Ankita Behl","57191059415","Sharda University","Department of Life Science","Greater Noida","India"
"Amit Singh Pawaiya","57189664508","Sharda University","Department of Community Medicine","Greater Noida","India"
"Usman Saidu","57223184626","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Monika Srivastava","59280407300","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Abubakar Sadiq Umar","60243121700","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Bharti Jain","57958776900","Sharda University","Sharda University","Greater Noida","India"
"Himanshu Sharma","59729105700","Sharda University","Sharda University","Greater Noida","India"
"Abha Gahlot","57218210782","Sharda University","Department of Ophthalmology","Greater Noida","India"
"Ajay Singh Verma","14422688200","Sharda University","Sharda University","Greater Noida","India"
"Sanjog Chhetri Sapkota","58475240900","Sharda University","Department of Civil Engineering","Greater Noida","India"
"Irwanjot Kaur","58862764700","Sharda University","Sharda University","Greater Noida","India"
